feature,importance
UnitPrice,0.5455413053786928
Quantity,0.4544586946213071
Country_Australia,0.0
Country_Austria,0.0
Country_Belgium,0.0
Country_Channel Islands,0.0
Country_Cyprus,0.0
Country_Czech Republic,0.0
Country_Denmark,0.0
Country_EIRE,0.0
Country_European Community,0.0
Country_Finland,0.0
Country_France,0.0
Country_Germany,0.0
Country_Greece,0.0
Country_Hong Kong,0.0
Country_Iceland,0.0
Country_Israel,0.0
Country_Italy,0.0
Country_Japan,0.0
Country_Malta,0.0
Country_Netherlands,0.0
Country_Norway,0.0
Country_Portugal,0.0
Country_Spain,0.0
Country_Sweden,0.0
Country_Switzerland,0.0
Country_USA,0.0
Country_United Kingdom,0.0
Country_Unspecified,0.0
